konsert_datum,konsert_namn,lokal_namn,konsert_biljettpris,konserttyp_namn,Producer,normalized_konsert_datum
1908-01-02,brüssel kvartetten beethovenafton,kungliga musikaliska akademiens lokal,,kammarmusikkonsert,brüssel stråkkvartetten brussels string quartet,1908 01 02
1908-01-05,afskedskonsert,immanuelskyrkan,,kyrkokonsert,bohlin carl. director,1908 01 05
1908-01-05,folk konsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,,1908 01 05
1908-01-05,populärkonsert,vetenskapsakademiens hörsal,,populärkonsert,hansson axel,1908 01 05
1908-01-06,2:a populära symfoni matinéen,berns salong,1kr till salongen 1:50kr till läktaren,konsert,berns,1908 01 06
1908-01-06,jul fest med bal,grand restaurant nationals stora salong,1:25kr herre 1kr da 50öre barn,bal,lj. b.,1908 01 06
1908-01-06,populär soaré,vetenskapsakademiens hörsal,1kr reserverad plats 75öre övriga platser,populärkonsert,dahlberg erik,1908 01 06
1908-01-08,karlfeldts afton,kfum:s stora sal,1kr numrerade 50öre onumrerade,folkkonsert,stockholms borgareskola stockholm citizens' school,1908 01 08
1908-01-08,vis och sagoafton för stora och små ändradd dag från 8e till 9e,kfum:s stora sal,1:25kr numrerade 75öre onumrerade,barnkonsert,sjögren ebba mrs,1908 01 08
1908-01-12,folk konsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 01 12
1908-01-12,populärkonsert,vetenskapsakademiens hörsal,,populärkonsert,,1908 01 12
1908-01-14,populär sångafton,kfum:s stora sal,1kr numrerade 50öre onumrerade,viskonsert,lundberg anna,1908 01 14
1908-01-15,svensk musikafton: geijer lindblad afton,kfum:s stora sal,1:50kr 1kr 50öre,konsert,borgarskolans serier borgarskolan series,1908 01 15
1908-01-16,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 01 16
1908-01-17,konsert,vetenskapsakademiens hörsal,2:50kr 2kr 1:50kr,konsert,petzold hanka mrs,1908 01 17
1908-01-17,populär sångafton,kfum:s stora sal,1kr numrerade 50öre onumrerade,populärkonsert,lundberg anna,1908 01 17
1908-01-18,lördagskonsert,vetenskapsakademiens hörsal,75öre till salen 50öre till läktaren,konsert,lördagskonsertserien,1908 01 18
1908-01-19,rytmiska koraler,skansen,50öre hälften barn,utomhuskonsert,skansen skansen (open air museum and historical park),1908 01 19
1908-01-19,typografiska föreningen kyrkokonsert,gustav vasa kyrkan,1kr,kyrkokonsert,typografiska föreningen typographical association,1908 01 19
1908-01-22,wennerberg afton,kfum:s stora sal,1:50kr 1kr samt onumrerade 50öre,konsert,borgarskolans serier borgarskolan series,1908 01 22
1908-01-22,wennerberg afton,kfum:s stora sal,1:50kr 1kr samt onumrerade 50öre,folkkonsert,stockholms borgareskola stockholm citizens' school,1908 01 22
1908-01-23,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 01 23
1908-01-23,samfundet för unison sång sångfest med föredrag,skansen,1kr,körkonsert,samfundet för unison sång society for unison singing,1908 01 23
1908-01-24,beethovenafton uppskjuten från den 13e till den 24e,kungliga musikaliska akademiens lokal,,solokonsert,stenhammar wilhelm,1908 01 24
1908-01-24,dramatisk musikalisk soaré med bal,grand restaurant nationals stora salong,1:50kr,dramatisk/musikalisk föreställning,svenska musik sällskapet swedish music society,1908 01 24
1908-01-24,populär sångafton 3e,kfum:s stora sal,1kr numrerade 50öre onumrerade,populärkonsert,lundberg anna,1908 01 24
1908-01-25,k.f.u.m norr månadssamkväm i form av musikafton,kfum:s stora sal,25öre 75öre inkl supé,konsert,k.f.u.m norr ymca north,1908 01 25
1908-01-25,lördagskonsert,vetenskapsakademiens hörsal,75öre 50öre,folkkonsert,lördagskonsertserien,1908 01 25
1908-01-25,populär säsongskonsert,kfum:s stora sal,1kr 75öre onumrerade 50öre,folkkonsert,gellin eduard,1908 01 25
1908-01-26,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 01 26
1908-01-26,kyrkokonsert,gustav vasa kyrkan,,kyrkokonsert,,1908 01 26
1908-01-26,svensk folkvise afton,kungliga musikaliska akademiens lokal,1kr och 1:50kr numrerade 50 öre onumrerade,konsert,borgarskolans serier borgarskolan series,1908 01 26
1908-01-27,aljoacha schkolnicks andra konsert,vetenskapsakademiens hörsal,2:50kr 2kr onumrerade 1:50kr,solokonsert,schkolnick aljoscha [oljascha],1908 01 27
1908-01-27,sveriges kvinnliga fredsförenings 10 årsfest,kungliga musikaliska akademiens lokal,1kr och 50öre,fest,sveriges kvinnliga fredsförening swedish women's peace association,1908 01 27
1908-01-28,brüssel kvartetten beethovenafton,kungliga musikaliska akademiens lokal,7:50kr 6kr 5kr 4kr abonnemangsbiljetter,kammarmusikkonsert,brüssel stråkkvartetten brussels string quartet,1908 01 28
1908-01-28,populär sångafton 4e,kfum:s stora sal,1kr numrerade 50öre onumrerade,populärkonsert,lundberg anna,1908 01 28
1908-01-29,gustaviansk afton,kfum:s stora sal,1:50kr 1kr,folkkonsert,borgarskolans serier borgarskolan series,1908 01 29
1908-01-29,richard andersson musikföredrag med sina elever,kfuk:s stora hörsal,,konsert,andersson richard,1908 01 29
1908-01-30,brüssel kvartetten beethovenafton,kungliga musikaliska akademiens lokal,7:50kr 6kr 5kr 4kr abonnemangsbiljetter,kammarmusikkonsert,brüssel stråkkvartetten brussels string quartet,1908 01 30
1908-01-30,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,familjekonsert,berns,1908 01 30
1908-01-31,musik och romansafton,bellios taverna,fri entre,konsert,bellios taverna bellios tavern,1908 01 31
1908-01-31,populär sång afton,vetenskapsakademiens hörsal,1kr 75öre,viskonsert,lundberg anna,1908 01 31
1908-02-01,brüssel kvartetten beethovenafton,kungliga musikaliska akademiens lokal,7:50kr 6kr 5kr 4kr abonnemangsbiljetter,kammarmusikkonsert,brüssel stråkkvartetten brussels string quartet,1908 02 01
1908-02-01,lördagskonsert,vetenskapsakademiens hörsal,75öre till salen 50öre till läktaren,folkkonsert,lördagskonsertserien,1908 02 01
1908-02-01,populär sångkonsert/säsongskonsert griegafton,kfum:s stora sal,1kr 75öre onumrerade 50öre,populärkonsert,gellin eduard,1908 02 01
1908-02-02,andersen afton,kungliga musikaliska akademiens lokal,50öre 1kr 1:50kr,konsert,borgarskolans serier borgarskolan series,1908 02 02
1908-02-02,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 02 02
1908-02-03,séance litteraire et musicale,hotel continentals festsal,,dramatisk/musikalisk föreställning,alliance francaise alliance française,1908 02 03
1908-02-03,soaré för välgörande ändamål,kungliga musikaliska akademiens lokal,,kammarmusikkonsert,,1908 02 03
1908-02-04,"sällskapet ""you know"" anordnar konsert",vetenskapsakademiens hörsal,1kr 1:50kr,konsert,"sällskapet ""you know"" society ""you know""",1908 02 04
1908-02-04,välgörenhetssoaré,kungliga musikaliska akademiens lokal,3:50kr 2:50kr 2kr,kammarmusikkonsert,,1908 02 04
1908-02-05,svensk afton,kfum:s stora sal,1kr 1:50kr onumrerade 50öre,konsert,borgarskolans serier borgarskolan series,1908 02 05
1908-02-06,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,familjekonsert,berns,1908 02 06
1908-02-07,konsert,brummerska skolan johannesgatan 18,1:50kr 1kr,konsert,gillberg carin miss,1908 02 07
1908-02-07,konsertföreningens 3e abonnemangskonsert,kungliga musikaliska akademiens lokal,,instrumental konsert,konsertföreningen concert association,1908 02 07
1908-02-07,populär sångafton,kfum:s stora sal,1:50,populärkonsert,lundberg anna,1908 02 07
1908-02-08,lördagskonsert,vetenskapsakademiens hörsal,50öre 75öre,folkkonsert,lördagskonsertserien,1908 02 08
1908-02-09,finsk musikafton,kungliga musikaliska akademiens lokal,50öre 1kr,konsert,folkkonsertförbundets serier folk concert association's series,1908 02 09
1908-02-09,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 02 09
1908-02-10,sällskapet concordias minnesfest över oscar ii,grand hotel festsalen,,fest,sångföreningen concordia singing association concordia,1908 02 10
1908-02-12,extrakonsert henri marteau,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr och 1:50kr,konsert,marteau henri,1908 02 12
1908-02-13,aljocha schkolnicks tredje konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,solokonsert,schkolnick aljoscha [oljascha],1908 02 13
1908-02-13,familjeafton,berns salong,,konsert,berns,1908 02 13
1908-02-14,populär sångafton,kfum:s stora sal,1kr numrerade 50öre onumrerade,populärkonsert,lundberg anna,1908 02 14
1908-02-15,lördagskonsert. vis och sagoafton ges på begäran av fru emma sjögren,vetenskapsakademiens hörsal,50öre till läktaren 75öre till salen ett fåtal numrerade platser 1kr,litterär musikalisk föreställning,sjögren ebba mrs,1908 02 15
1908-02-15,tredje symfonikonserten,kungliga operan/kungliga teatern,,konsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 02 15
1908-02-16,folkkonsert skandinavisk romansafton,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 02 16
1908-02-16,populärkonsert,vetenskapsakademiens hörsal,75öre,konsert,hansson axel,1908 02 16
1908-02-16,stockholms arbetaresångförenings konsert,gustav vasa kyrkan,75öre,kyrkokonsert,,1908 02 16
1908-02-16,wennerberg afton,kungliga musikaliska akademiens lokal,50öre 1kr och 1:50kr numrerade,konsert,borgarskolans serier borgarskolan series,1908 02 16
1908-02-17,populär sångafton,kfum:s stora sal,1kr numrerade 50öre onumrerade,populärkonsert,lundberg anna,1908 02 17
1908-02-17,recett för hovkapellmästaren richard henneberg,berns salong,1kr till salongen 1:50kr till läktaren,konsert,berns,1908 02 17
1908-02-18,konsert,kungliga musikaliska akademiens lokal,,konsert,hwass tora,1908 02 18
1908-02-18,nya dramatens invigning,dramatiska teatern,,fest,,1908 02 18
1908-02-19,drachmanns afton,kfum:s stora sal,1:50kr 1kr onumrerade 50öre,konsert,borgarskolans serier borgarskolan series,1908 02 19
1908-02-20,familjeafton,berns salong,,familjekonsert,berns,1908 02 20
1908-02-20,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 02 20
1908-02-23,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 02 23
1908-02-23,matiné till förmån för stockholms brefbärares änke och pupillkassas grundfond,katarina kyrka,2:50kr 2kr 1:50kr 1kr,kyrkokonsert,katarina församling katarina parish,1908 02 23
1908-02-24,aurora molander ger konsert uppskjuten från den 14e till 24e,vetenskapsakademiens hörsal,2:50kr 2kr numnrerade 1:50kr onumrerade,solokonsert,molander aurora miss,1908 02 24
1908-02-24,visafton,kungliga musikaliska akademiens lokal,1kr 1:50kr 2kr 2:50kr,viskonsert,norrie anna [f. pettersson],1908 02 24
1908-02-26,aulinska kvartettens 3e kammarmusikkonsert: schumannafton,vetenskapsakademiens hörsal,3kr numnerade 2:50kr onumrerade,kammarmusikkonsert,aulinkvartetten aulin quartet,1908 02 26
1908-02-26,fosterländsk fest roskildeminnet,kfum:s stora sal,50öre 1kr 1:50kr,konsert,stockholms borgareskola stockholm citizens' school,1908 02 26
1908-02-26,konsert till högtidlighållande av roskildefredens 250årsdag,berns salong,fri entré,konsert,berns,1908 02 26
1908-02-26,roskildeminnet,kungliga musikaliska akademiens lokal,1kr mitten 50öre övriga platser,konsert,kungliga musikaliska akademien royal swedish academy of music,1908 02 26
1908-02-26,roskildeminnet,högre allmnna läroverket på norrmalm,1kr mitten 50öre övriga platser,konsert,,1908 02 26
1908-02-26,roskildeminnet,södermalms högre allmänna läroverks aula,1kr mitten 50öre övriga platser,konsert,,1908 02 26
1908-02-27,familjeafton,berns salong,,konsert,berns,1908 02 27
1908-02-28,beethovenafton,kungliga musikaliska akademiens lokal,2:50kr 2kr 1:50kr,kammarmusikkonsert,gellin eduard,1908 02 28
1908-02-28,thorvald nyrén sjunger visor till luta,vetenskapsakademiens hörsal,1:50kr numrerade 1kr onumrerade,viskonsert,nyrén thorvald,1908 02 28
1908-02-29,faust,kungliga operan/kungliga teatern,symfonikonsertpris,konsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 02 29
1908-02-29,fosterländsk sångafton,kungsholmens realskolas högtidssal,,konsert,,1908 02 29
1908-02-29,konsert till förmån för en skolresa med gossar från nikolai folkskola,kfum:s stora sal,,konsert,,1908 02 29
1908-02-29,lördagskonsert,vetenskapsakademiens hörsal,50ör 75öre,konsert,lördagskonsertserien,1908 02 29
1908-03-01,folkkonsert,,,folkkonsert,,1908 03 01
1908-03-01,första konserten med kommunalt understöd,kungliga musikaliska akademiens lokal,,folkkonsert,folkkonsertförbundet,1908 03 01
1908-03-01,konsert till förmån för katarina församlings skollofskolonier,sofiakyrkan,50öre,kyrkokonsert,bergquist j. a.,1908 03 01
1908-03-01,konsert matiné,kungliga musikaliska akademiens lokal,2:50kr 2kr 1:50kr,kammarmusikkonsert,dohnànyi ernst von,1908 03 01
1908-03-03,ernst von dohnányi afskedskonsert beethovenafton,kungliga musikaliska akademiens lokal,2:50kr 2kr 1:50kr,kammarmusikkonsert,dohnànyi ernst von,1908 03 03
1908-03-03,konsert till förmån för de nödlidande i lappmarken,berns salong,50öre 1kr,konsert,berns,1908 03 03
1908-03-03,stor extra konsert till förmån för de nödlidande i lappmarken,berns nya salong,50öre 1kr,konsert,berns,1908 03 03
1908-03-04,populär konsert,kfum:s stora sal,1kr salen 50öre läktaren,konsert,,1908 03 04
1908-03-04,tysk musik afton,kungliga musikaliska akademiens lokal,50öre 1kr 1:50kr,konsert,borgarskolans serier borgarskolan series,1908 03 04
1908-03-04,visafton,vetenskapsakademiens hörsal,1kr 1:50kr 2kr 2:50kr,viskonsert,norrie anna [f. pettersson],1908 03 04
1908-03-05,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 03 05
1908-03-06,konsert,kfuk:s stora hörsal,,konsert,,1908 03 06
1908-03-06,populär sångafton till förmån för s. de c:s byggnadsfond,kfum:s stora sal,1kr numrerade 50öre onumreade,viskonsert,lundberg anna,1908 03 06
1908-03-07,lördagskonsert,vetenskapsakademiens hörsal,50öre 75öre,konsert,lördagskonsertserien,1908 03 07
1908-03-08,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 03 08
1908-03-08,populär konsert,vetenskapsakademiens hörsal,75öre,konsert,,1908 03 08
1908-03-10,musikföreningens andra abonnementskonsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr,konsert,musikföreningen music association,1908 03 10
1908-03-10,svensk ungdoms afton,vetenskapsakademiens hörsal,1kr 75öre 50öre,ungdomskonsert,sjögren ebba mrs,1908 03 10
1908-03-11,populär konsert,kfum:s stora sal,1kr salen 50öre läktaren,konsert,,1908 03 11
1908-03-12,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 03 12
1908-03-13,concordias soaré,grand hotel festsalen,,konsert,sångföreningen concordia singing association concordia,1908 03 13
1908-03-13,konsertföreningens 4e och sista abonnemangskonsert,kungliga musikaliska akademiens lokal,,konsert,konsertföreningen concert association,1908 03 13
1908-03-13,populär sång afton nytt program,vetenskapsakademiens hörsal,1kr numrerade 50öre onumrerade,konsert,lundberg anna,1908 03 13
1908-03-14,lördagskonsert,vetenskapsakademiens hörsal,50öre 75öre,konsert,lördagskonsertserien,1908 03 14
1908-03-14,soaré till förmån för stockholms studenthem,kfum:s stora sal,1:50kr,konsert,,1908 03 14
1908-03-15,3e populära symfonimatinéen,berns salong,,konsert,berns,1908 03 15
1908-03-15,folk konsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 03 15
1908-03-15,populär konsert,vetenskapsakademiens hörsal,75öre,konsert,hansson axel,1908 03 15
1908-03-16,aulinska kvartettens 4e kammarmusikkonsert i förening med prof. fr. neruda,vetenskapsakademiens hörsal,3kr numrerade 2:50kr onumrerade,kammarmusikkonsert,aulinkvartetten aulin quartet,1908 03 16
1908-03-18,italiensk musik afton,vetenskapsakademiens hörsal,1kr 1:50kr,konsert,borgarskolans serier borgarskolan series,1908 03 18
1908-03-18,konsert,kungliga musikaliska akademiens lokal,2:50kr 2kr 1:50kr,konsert,hwass tora,1908 03 18
1908-03-19,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 03 19
1908-03-21,fjärde symfonikonserten,kungliga operan/kungliga teatern,,konsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 03 21
1908-03-21,svensk ungdomsafton [lördagskonsertserien],vetenskapsakademiens hörsal,1kr numrerade platser 75öre onumrerade platser,konsert,lördagskonsertserien,1908 03 21
1908-03-22,folk konsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 03 22
1908-03-22,populärkonsert,vetenskapsakademiens hörsal,75öre,konsert,hansson axel,1908 03 22
1908-03-22,södermalms arbetareinstituts folkkonsert,södermalms högre allmänna läroverks aula,,folkkonsert,södermalms arbetareinstitut södermalm workers' institute,1908 03 22
1908-03-25,folk konsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 03 25
1908-03-25,konsert,st peters kyrka,50öre 1kr,kyrkokonsert,,1908 03 25
1908-03-25,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 03 25
1908-03-25,od matiné,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr,körkonsert,orfei drängar orfei drängar (a male choir),1908 03 25
1908-03-25,orgelkonsert,jakobs kyrka,1:50kr 1kr,kyrkokonsert,lindström albert e.,1908 03 25
1908-03-25,populärkonsert,kfuk:s stora hörsal,75öre 1kr,konsert,hansson axel,1908 03 25
1908-03-26,beethovenafton,kungliga musikaliska akademiens lokal,,konsert,stenhammar wilhelm,1908 03 26
1908-03-26,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 03 26
1908-03-26,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 03 26
1908-03-28,anekdot och visafton med skioptikonbilder för ungdom,kfum:s stora sal,50öre,ungdomskonsert,nordiska samfundet,1908 03 28
1908-03-28,konsert,kungsholmens läroverks högtidssal,,konsert,ssuh föreningen solidar,1908 03 28
1908-03-28,populär sång afton,vetenskapsakademiens hörsal,1kr numrerade 50öre onumrerade,viskonsert,lundberg anna,1908 03 28
1908-03-29,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 03 29
1908-03-29,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 03 29
1908-03-29,populärkonsert,vetenskapsakademiens hörsal,75öre,konsert,hansson axel,1908 03 29
1908-03-29,vårkonsert till förmån för stockholms nationalgodemplares koloi för fattiga barn,katarina kyrka,75öre 50öre,kyrkokonsert,,1908 03 29
1908-03-31,emil sjögren giver musik afton,kungliga musikaliska akademiens lokal,2:50kr 2kr 1:50kr,konsert,sjögren emil,1908 03 31
1908-04-02,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 04 02
1908-04-04,populär sång afton,vetenskapsakademiens hörsal,1kr numrerade 50öre onumrerade,konsert,lundberg anna,1908 04 04
1908-04-05,folkkonsert andra konserten med kommunalt understöd,kungliga musikaliska akademiens lokal,25öre,folkkonsert,folkkonsertförbundet,1908 04 05
1908-04-05,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 05
1908-04-05,kyrkokonsert,oscarskyrkan,,kyrkokonsert,oscarskyrkan,1908 04 05
1908-04-05,matiné för erhållande af en brunn vid hagalunds arbetsstuga,st matteus kyrka,,kyrkokonsert,,1908 04 05
1908-04-05,svenska folkförbundets manskör i stockholms konsert,nordiska museets stora hall,,körkonsert,svenska folkförbundets manskör swedish folk association's men's choir,1908 04 05
1908-04-06,sångafton,höloftet på skansen,,körkonsert,samfundet för unison sång society for unison singing,1908 04 06
1908-04-07,konsert,södermalms högre allmänna läroverks aula,,konsert,orkesterföreningen inom södermalms läroverk the orchestra association within södermalm's secondary school,1908 04 07
1908-04-08,italienska pianisten maria avani carrera gifver konsert,vetenskapsakademiens hörsal,2:50kr 2kr numrerade 1:50kr onumrerade,konsert,avani carrera maria,1908 04 08
1908-04-09,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 04 09
